l,n,freq,freq_err,height,height_err,width,width_err
1.0,-1.0,2374.706538083936,1.4598290846976483,1.639827615104057,1.3515195194934653,1.9483691792107671,2.1582958779462524
1.0,-1.0,2504.3615357410463,1.0894374931520034,1.8201036869226397,1.3601047295672462,1.7654027012497855,1.1820042245236626
1.0,-1.0,2637.1394961979595,0.2931315909444167,13.622411873841193,7.7481656409684385,1.2331735966611106,0.5349729362169536
1.0,-1.0,2769.2174662339307,0.38713375972766234,10.49286217707247,5.618029611994073,1.0767248392098274,0.4511649078474435
1.0,-1.0,2901.344971683084,0.3336630857278028,15.792981180869317,7.711440240214155,1.1144488680701108,0.39797398852446
1.0,-1.0,3034.7209167251203,0.44544967532428864,6.414465995354959,3.6794367971587194,2.180120485335377,0.9587094272737261
1.0,-1.0,3167.4750826830664,0.43940872824679444,8.466168167390542,4.424094146385297,1.5731077661419446,0.6611900715583768
1.0,-1.0,3300.104749293307,0.3459243576019521,12.371066449835439,5.47923479219809,1.9301245433820333,0.6546460293453383
1.0,-1.0,3433.7062501424416,0.856656857075171,2.645695666201783,1.7221956224502908,3.6366175475993803,1.883364471540621
1.0,-1.0,3566.482722557366,0.7743710966703582,2.777187007471815,1.8526437468994619,3.0246432937014434,1.555197152686862
1.0,-1.0,3700.6393972689916,2.1518199439034427,0.9877197694946119,0.9400439822509776,7.680312611413841,6.42121520908025
0.0,16.0,2311.8496708271036,3.1823173538751113,0.6685564385900209,0.7892729010415179,2.2476608648235836,2.748290669806587
0.0,18.0,2574.906137000444,1.8447086073393952,1.1845030337216749,1.0577956986519665,1.5627509135453825,1.229583379734106
0.0,19.0,2707.041294471233,0.19657996634970115,6.19038396213219,5.2874279916202385,0.6336281899083661,0.40463249812361207
0.0,20.0,2839.2481270226226,0.24119525190381022,8.127301294614064,4.661823319170395,1.4743954702486428,0.5619778070998529
0.0,21.0,2972.402378338683,0.20247238820712998,10.79234677294536,7.230351990480369,1.107148128965781,0.4621077278139694
0.0,22.0,3104.726695141327,0.23230416601033013,10.708242983188335,5.686530291334965,1.5325113621937883,0.49431100915894843
0.0,23.0,3236.8179259301314,0.2737155953324409,8.939038455036183,4.297313257867854,1.8832000256823807,0.6276657229456137
0.0,24.0,3369.4154114899725,1.0203465655197568,2.4457520313052203,1.559371985861877,5.187617311728713,1.83350947449607
0.0,25.0,3505.061472345938,0.32942416792851786,3.8593085458968,2.381563227631255,1.4789955874452931,0.7283787282151941
0.0,26.0,3638.0000240443123,3.2542928850299195,0.8922868174641597,0.8405839742466709,1.8894608254205398,2.0921391549955404
0.0,27.0,3771.192799510355,3.30507221288423,0.3668388883663298,0.4219381978234876,2.255310494797867,3.0116666851529637
2.0,17.0,2563.2529843831744,3.5872517812977742,0.8950889292976251,1.071172009937734,1.0433103185283947,1.3926858554816697
2.0,18.0,2693.947896849838,0.8290821315127138,3.7318597834423874,2.38846599011746,1.7175664987777093,1.0405651595827263
2.0,19.0,2827.0925776978174,3.5432865382848835,3.024831430465583,2.8269143570287047,1.0329605535365654,1.2004884908122428
2.0,20.0,2961.269643860661,0.8468859400638119,5.086019727603783,3.832036123815559,1.4811445466335906,1.1300035289475336
2.0,21.0,3093.265606467959,0.957085759953943,5.880749869038301,4.85934217887934,1.6754738338459736,1.2023600120391496
2.0,22.0,3226.8240436002307,1.7069581916958432,4.38858986178268,4.033537989329586,1.0778292355279402,1.2137021250390614
2.0,23.0,3357.370827097352,2.43783226255233,3.8956664316222223,3.681495965591737,1.5740076638954656,1.8490563904066484
2.0,24.0,3494.245082389878,1.2624867159179762,2.9525163845810956,2.544566547357381,1.2991025567267633,1.2166443852387
