l,n,freq,freq_err,height,height_err,width,width_err
1.0,-1.0,2689.7975558040052,1.1199175844274973,2.9467193741186573,2.868235675332488,0.9628544182012374,1.4886912336937224
1.0,-1.0,2812.692879196954,0.7673177405921647,3.1145787480896705,2.4013980244902924,2.3844247822613323,1.5142980956380032
1.0,-1.0,2935.8271634815137,0.45868069216524143,4.8580239712565305,3.813621104240139,1.5755735966894342,1.0833883758958072
1.0,-1.0,3181.646785879802,0.7512623327924177,3.134285830644804,2.7706348800353497,1.3254475214607377,1.1457490606445906
1.0,-1.0,3305.440182962559,3.1204779535514975,0.8204085459306032,0.9687401207802011,2.881833992420349,3.7869085112060676
0.0,21.0,2754.288592759983,1.6437823584428348,1.7501780230962314,1.7635088052378325,1.643230284379072,1.55397989266497
0.0,23.0,3000.6552980190177,2.1211705067271884,1.3048034262620098,1.2627249516057464,2.3141074311862426,2.119526239313226
0.0,24.0,3123.757933673872,2.8293423832722677,0.8305005807481223,0.9539655888653774,2.069041809840109,2.4919023728102694
2.0,19.0,2623.739025288354,3.153223785911687,0.4322049292554349,0.599241893753251,1.6930246060211012,2.1361256314104162
2.0,24.0,3238.534699735647,2.9816849214906074,0.46833562932833056,0.610637083236614,1.770320748910268,2.297801366448542
