l,n,freq,freq_err,height,height_err,width,width_err
1.0,-1.0,2356.0069977358194,2.2184005813119216,0.6638153935050167,0.7377602641781349,1.9688813560476175,2.1472266983562265
1.0,-1.0,2494.156789747956,1.1170158737259825,1.3896238554656324,1.1563620683858313,2.8923511676996068,1.9544018145704307
1.0,-1.0,2632.102376054675,0.6031827447097846,2.776580575289225,2.177738144795048,1.4290345239906364,1.1048613122493118
1.0,-1.0,2770.02618542466,0.6147660057712665,3.2271192200969514,2.1419506903188195,2.1866950620282117,1.193813666762138
1.0,-1.0,2908.804023653832,0.40832498957086977,5.0410707559866825,3.3919133112159536,1.2245930805915952,0.7002335648377622
1.0,-1.0,3048.831414620211,0.432972919840966,5.428269921405841,4.087389536846118,1.1837474806097603,0.7570043865745714
1.0,-1.0,3187.7083277878764,0.4107784164431555,6.429637796322863,4.835230528884053,1.2154908427697633,0.6958121264277106
1.0,-1.0,3326.140454859504,0.24185877397282604,13.046850072173248,7.47663912448176,0.8976898592693783,0.39313866686199783
1.0,-1.0,3466.5981312806825,0.6573138406396524,2.9820917207385484,2.2192560974197275,2.143161003267995,1.3572057276204306
1.0,-1.0,3607.582330141931,0.5781316131489888,2.6086431104759273,1.7356348318514652,1.4828779221513089,0.8378623220979442
1.0,-1.0,3746.563668270256,3.230596341744636,0.5650765118638841,0.5229659679987873,3.9017325623748103,4.293188630643502
0.0,17.0,2566.1910431844453,2.4733988900864516,1.1381863191852413,1.1817103863431315,1.735663717381709,1.8032041948139543
0.0,18.0,2703.4595360512026,1.94740664538535,1.9002192205101451,2.0339050394232476,1.4713885240373228,1.3101318010251242
0.0,19.0,2843.666898929174,0.34786716637338233,3.771552659120365,2.9815815399779333,1.061308599837442,0.6759832225530046
0.0,20.0,2981.8159885108685,0.2832517916794217,5.421152296277864,4.335070818422965,0.9142847666075522,0.4863146674690703
0.0,21.0,3120.50739245208,0.215009980267878,10.892538549458337,6.674503552482338,1.0931196678365065,0.4523714885741592
0.0,22.0,3259.754397620337,1.1624049286759448,2.360632780728081,1.8904725120819672,2.532582951976848,2.0857153629399967
0.0,23.0,3397.442269145636,2.7202823888485885,1.9050370905563458,2.093314155439138,1.145600457781871,1.2408026971012633
0.0,24.0,3538.6449392423806,1.2004923569472035,2.036166812852045,1.7966783140011826,1.5189142045478659,1.3350393926000585
0.0,25.0,3679.480150502083,2.8948068153116915,0.7546009773912231,0.578098108941411,4.434954454945925,3.8260448345698674
0.0,26.0,3818.675833559123,3.4700360693527887,0.37707092478235427,0.42687359467784347,2.974930944784538,3.6226622439974085
2.0,16.0,2558.044160934901,3.7988668316865493,0.7521277391442109,0.9157865429957585,1.443603716441551,1.9293982411264314
2.0,17.0,2696.354443267831,1.196362182142668,2.8453175956327383,2.814286682189357,1.3049285189343665,1.287003732708131
2.0,18.0,2835.091840486006,2.966084333727952,1.9686351734911316,2.222319854482654,1.0556712418463379,1.165969344252588
2.0,19.0,2973.517597119899,1.2261931803524428,2.8828800139984643,2.6463045902285356,1.4282393144838565,1.2323782099864773
2.0,20.0,3111.891073832643,2.315280518203797,2.6991444667875673,2.810800922359422,1.3581277642662573,1.4982168943817997
2.0,21.0,3251.6440552292765,2.9568302368062325,1.8874155960744177,2.1640336973794336,2.292234589671837,2.741272519788585
2.0,22.0,3391.1762156626505,2.7038864516613446,1.9134621935981257,2.334888346359945,1.1727546448862949,1.2735930742184867
2.0,23.0,3532.1811646898122,2.6094193822500595,1.652656074251671,1.8167429424188581,1.5244697652142496,1.7038366715736337
2.0,24.0,3671.3300513109716,3.2239611853054373,0.7187441459561544,0.7103393603317945,3.1557714990992416,3.562669618837029
